source_domain	source_id	source_path	sha256	source_kind	branch	worktree	commit	source_date	disposition	destination_docs	claim_ids	artifact_handles	lifecycle	availability	review_status	note
progress	progress:009c12c726699531947c3fb96b5944944d906655714dce03c6971b3745291ef7	progress/directions/stage2_emish_set_supervision_v1.md	009c12c726699531947c3fb96b5944944d906655714dce03c6971b3745291ef7	reachable_and_unreachable_git_history	-	-	-	not_dated	archive_historical	07_stage2_rollout_failure_registry.md	-	recovery_snapshot:snapshots/009c12c72669/progress/directions/stage2_emish_set_supervision_v1.md	historical	archived_git	provenance_indexed	classification=same_path_divergent_new_content;origins=reachable_git_history;unreachable_git_history;path_count=1;bytes=58591
progress	progress:00de16e59d1b913aec7201d26cff969f5139d06d690c30d201e8bbeddefeb91c	progress/diagnostics/2026-04-20_coord_family_basin_and_recall_comparison.md	00de16e59d1b913aec7201d26cff969f5139d06d690c30d201e8bbeddefeb91c	current_worktree;reachable_and_unreachable_git_history	codex/coverage-ledger-mechanistic-probing;codex/ledger-auxiliary-loss;codex/prefix-denoising-sft;codex/regionlock-simplified-pointer;codex/vllm-mechanistic-round-gaussian-rps;coordexp-infras;main;research-probes	/data/CoordExp;/data/CoordExp/.worktrees/coordexp-infras;/data/CoordExp/.worktrees/coverage-ledger-mechanistic-probing;/data/CoordExp/.worktrees/geometry-aware-denoising-sft;/data/CoordExp/.worktrees/ledger-auxiliary-loss;/data/CoordExp/.worktrees/regionlock-simplified-pointer;/data/CoordExp/.worktrees/research-probes;/data/CoordExp/.worktrees/vllm-mechanistic-round-gaussian-rps	0544c509192d3173fa23b1870cd486a9ae815084;72a1639cc469d498923f16eac2b1a661e52719f7;8cea75d9261e0f694fbdbb5c6d2005cdb28cc886;9a79e48f4800868fe66f7d6c98b1289a5232cd96;ae05699b05467398a933d4e1eaeabde566a9f499;b4fff9c1b1f4b7bac832e7c4e707d1956467dbc4;dc6714ca508a1449a7c5180672e0e77179e8513b;f77919c5a5dbea34d75b8de04d93d05f385bc0c5	2026-04-20	retain_current	11_historical_result_registry.md	-	recovery_snapshot:snapshots/00de16e59d1b/progress/diagnostics/2026-04-20_coord_family_basin_and_recall_comparison.md	current	current_or_recoverable	provenance_indexed	classification=same_path_identical;origins=current_worktree;reachable_git_history;unreachable_git_history;path_count=1;bytes=8643
progress	progress:00e1c939848a49b009401a0680a75b8b5b41e6b794df330f32dcea4fcc1ebfd6	progress/benchmarks/README.md	00e1c939848a49b009401a0680a75b8b5b41e6b794df330f32dcea4fcc1ebfd6	current_worktree;reachable_and_unreachable_git_history	coordexp-infras;main;research-probes	/data/CoordExp;/data/CoordExp/.worktrees/coordexp-infras;/data/CoordExp/.worktrees/research-probes	72a1639cc469d498923f16eac2b1a661e52719f7;9a79e48f4800868fe66f7d6c98b1289a5232cd96;ae05699b05467398a933d4e1eaeabde566a9f499	not_dated	retain_current	10_inference_evaluation_and_artifact_lessons.md	-	recovery_snapshot:snapshots/00e1c939848a/progress/benchmarks/README.md	current	current_or_recoverable	provenance_indexed	classification=same_path_identical;origins=current_worktree;reachable_git_history;unreachable_git_history;path_count=1;bytes=2645
progress	progress:01b2dee2ab21101a0385d5554e95ac91e0f94bba571353c3116001d20a058d6a	progress/diagnostics/artifacts/a5_a6_iou_gibbs_softce_negative_result_2026-05-14/visual/a5_iou_gibbs/manifest.md	01b2dee2ab21101a0385d5554e95ac91e0f94bba571353c3116001d20a058d6a	reachable_git_history	-	-	-	2026-05-14	archive_historical	11_historical_result_registry.md	-	recovery_snapshot:snapshots/01b2dee2ab21/progress/diagnostics/artifacts/a5_a6_iou_gibbs_softce_negative_result_2026-05-14/visual/a5_iou_gibbs/manifest.md	historical	archived_git	provenance_indexed	classification=same_path_divergent_new_content;origins=reachable_git_history;path_count=1;bytes=2004
progress	progress:0242bc8e067e628f865e7da84be21d316181c409cf69b5c8bd83b8369d3cd828	progress/audits/2026-05-03_type_schema_architecture_audit.md	0242bc8e067e628f865e7da84be21d316181c409cf69b5c8bd83b8369d3cd828	reachable_git_history	-	-	-	2026-05-03	archive_historical	10_inference_evaluation_and_artifact_lessons.md	-	recovery_snapshot:snapshots/0242bc8e067e/progress/audits/2026-05-03_type_schema_architecture_audit.md	historical	archived_git	provenance_indexed	classification=same_path_divergent_new_content;origins=reachable_git_history;path_count=1;bytes=30008
progress	progress:024615abeff2bea59c73a42dc406b1ff0c93257150400a297c5d51f0a9e8aeca	progress/directions/full_idea_v4.md	024615abeff2bea59c73a42dc406b1ff0c93257150400a297c5d51f0a9e8aeca	current_worktree;reachable_and_unreachable_git_history	codex/coverage-ledger-mechanistic-probing;codex/ledger-auxiliary-loss;codex/prefix-denoising-sft;codex/regionlock-simplified-pointer;codex/vllm-mechanistic-round-gaussian-rps;coordexp-infras;main;research-probes	/data/CoordExp;/data/CoordExp/.worktrees/coordexp-infras;/data/CoordExp/.worktrees/coverage-ledger-mechanistic-probing;/data/CoordExp/.worktrees/geometry-aware-denoising-sft;/data/CoordExp/.worktrees/ledger-auxiliary-loss;/data/CoordExp/.worktrees/regionlock-simplified-pointer;/data/CoordExp/.worktrees/research-probes;/data/CoordExp/.worktrees/vllm-mechanistic-round-gaussian-rps	0544c509192d3173fa23b1870cd486a9ae815084;72a1639cc469d498923f16eac2b1a661e52719f7;8cea75d9261e0f694fbdbb5c6d2005cdb28cc886;9a79e48f4800868fe66f7d6c98b1289a5232cd96;ae05699b05467398a933d4e1eaeabde566a9f499;b4fff9c1b1f4b7bac832e7c4e707d1956467dbc4;dc6714ca508a1449a7c5180672e0e77179e8513b;f77919c5a5dbea34d75b8de04d93d05f385bc0c5	not_dated	retain_current	10_inference_evaluation_and_artifact_lessons.md	-	recovery_snapshot:snapshots/024615abeff2/progress/directions/full_idea_v4.md	current	current_or_recoverable	provenance_indexed	classification=same_path_identical;origins=current_worktree;reachable_git_history;unreachable_git_history;path_count=1;bytes=19667
progress	progress:0248c2779a0dc49c538ed732fe8419902ce9273e9a7db8162766e15b5bebaada	progress/diagnostics/artifacts/coord_family_comparison_2026-04-20/recall_progress_report.md	0248c2779a0dc49c538ed732fe8419902ce9273e9a7db8162766e15b5bebaada	current_worktree;reachable_and_unreachable_git_history	codex/coverage-ledger-mechanistic-probing;codex/ledger-auxiliary-loss;codex/prefix-denoising-sft;codex/regionlock-simplified-pointer;codex/vllm-mechanistic-round-gaussian-rps;coordexp-infras;main;research-probes	/data/CoordExp;/data/CoordExp/.worktrees/coordexp-infras;/data/CoordExp/.worktrees/coverage-ledger-mechanistic-probing;/data/CoordExp/.worktrees/geometry-aware-denoising-sft;/data/CoordExp/.worktrees/ledger-auxiliary-loss;/data/CoordExp/.worktrees/regionlock-simplified-pointer;/data/CoordExp/.worktrees/research-probes;/data/CoordExp/.worktrees/vllm-mechanistic-round-gaussian-rps	0544c509192d3173fa23b1870cd486a9ae815084;72a1639cc469d498923f16eac2b1a661e52719f7;8cea75d9261e0f694fbdbb5c6d2005cdb28cc886;9a79e48f4800868fe66f7d6c98b1289a5232cd96;ae05699b05467398a933d4e1eaeabde566a9f499;b4fff9c1b1f4b7bac832e7c4e707d1956467dbc4;dc6714ca508a1449a7c5180672e0e77179e8513b;f77919c5a5dbea34d75b8de04d93d05f385bc0c5	2026-04-20	retain_current	08_coordinate_objective_and_decode_negatives.md	-	recovery_snapshot:snapshots/0248c2779a0d/progress/diagnostics/artifacts/coord_family_comparison_2026-04-20/recall_progress_report.md	current	current_or_recoverable	provenance_indexed	classification=same_path_identical;origins=current_worktree;reachable_git_history;unreachable_git_history;path_count=1;bytes=2001
progress	progress:0251534e56518b6cbd798814e9e57cff6d644ea316d389a7c67e2a0ca9acc913	progress/diagnostics/2026-03-12_stage2_triage_posterior_coco1024_train_dynamics.md	0251534e56518b6cbd798814e9e57cff6d644ea316d389a7c67e2a0ca9acc913	reachable_and_unreachable_git_history	-	-	-	2026-03-12	archive_historical	07_stage2_rollout_failure_registry.md	-	recovery_snapshot:snapshots/0251534e5651/progress/diagnostics/2026-03-12_stage2_triage_posterior_coco1024_train_dynamics.md	historical	archived_git	provenance_indexed	classification=same_path_divergent_new_content;origins=reachable_git_history;unreachable_git_history;path_count=1;bytes=33498
progress	progress:028241fe4d457b7883b5e9994c8684c42ac50aca6554409c6fa1db69fc51d582	progress/diagnostics/2026-06-14_prefix_denoising_launch_health.md	028241fe4d457b7883b5e9994c8684c42ac50aca6554409c6fa1db69fc51d582	reachable_git_history	-	-	-	2026-06-14	archive_historical	10_inference_evaluation_and_artifact_lessons.md	-	recovery_snapshot:snapshots/028241fe4d45/progress/diagnostics/2026-06-14_prefix_denoising_launch_health.md	historical	archived_git	provenance_indexed	classification=same_path_divergent_new_content;origins=reachable_git_history;path_count=1;bytes=6673
progress	progress:02a9b448c136a183f3ad16eb2f3011f22db84bce95887b49dbc959050e09b37e	docs/history/worktree-cleanup/2026-07-02-low-risk-worktree-recycle/snapshots/loss-only-instance-enumeration/progress/directions/2026-06-07_segment_aware_packing_infra.md;docs/history/worktree-cleanup/2026-07-02-low-risk-worktree-recycle/snapshots/mechanistic-diagnosis-experiments/progress/directions/2026-06-07_segment_aware_packing_infra.md;docs/history/worktree-cleanup/2026-07-02-low-risk-worktree-recycle/snapshots/row-conditioned-visual-coverage/progress/directions/2026-06-07_segment_aware_packing_infra.md;docs/history/worktree-union/2026-06-20/snapshots/02a9b448c136/progress/directions/2026-06-07_segment_aware_packing_infra.md;progress/directions/2026-06-07_segment_aware_packing_infra.md	02a9b448c136a183f3ad16eb2f3011f22db84bce95887b49dbc959050e09b37e	current_worktree;reachable_and_unreachable_git_history	codex/coverage-ledger-mechanistic-probing;codex/ledger-auxiliary-loss;codex/prefix-denoising-sft;codex/regionlock-simplified-pointer;codex/vllm-mechanistic-round-gaussian-rps;coordexp-infras;main;research-probes	/data/CoordExp;/data/CoordExp/.worktrees/coordexp-infras;/data/CoordExp/.worktrees/coverage-ledger-mechanistic-probing;/data/CoordExp/.worktrees/geometry-aware-denoising-sft;/data/CoordExp/.worktrees/ledger-auxiliary-loss;/data/CoordExp/.worktrees/regionlock-simplified-pointer;/data/CoordExp/.worktrees/research-probes;/data/CoordExp/.worktrees/vllm-mechanistic-round-gaussian-rps	0544c509192d3173fa23b1870cd486a9ae815084;72a1639cc469d498923f16eac2b1a661e52719f7;8cea75d9261e0f694fbdbb5c6d2005cdb28cc886;9a79e48f4800868fe66f7d6c98b1289a5232cd96;ae05699b05467398a933d4e1eaeabde566a9f499;b4fff9c1b1f4b7bac832e7c4e707d1956467dbc4;dc6714ca508a1449a7c5180672e0e77179e8513b;f77919c5a5dbea34d75b8de04d93d05f385bc0c5	2026-06-07	retain_current	11_historical_result_registry.md	-	recovery_snapshot:snapshots/02a9b448c136/docs/history/worktree-cleanup/2026-07-02-low-risk-worktree-recycle/snapshots/loss-only-instance-enumeration/progress/directions/2026-06-07_segment_aware_packing_infra.md	current	current_or_recoverable	provenance_indexed	classification=same_path_identical;origins=current_worktree;reachable_git_history;unreachable_git_history;path_count=5;bytes=34568
