source_path	source_id	root_or_group_id	date	cwd_or_worktree	relevance	disposition	topics	evidence_surface	execution_lifecycle	current_owner	duplicate_key	confidence	reason
/data/CoordExp/.worktrees/CoordExp-swift/research/archive/index.md	doc-8157ec9fe967179e	content:c62138012bdcb46e62ccc949db4a30c0273498050632d79368c9c1bd5afd5747	2026-06-27	CoordExp-swift	skip	duplicate	CoordExp-swift;index	router/synthesis	retired/historical	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:c62138012bdcb46e62ccc949db4a30c0273498050632d79368c9c1bd5afd5747	low	byte-identical to representative /data/CoordExp/research/archive/index.md
/data/CoordExp/.worktrees/CoordExp-swift/research/decisions/index.md	doc-eb5b7187d868de6a	content:9a1bceaa965fe210e05614781ef7e067ac625bc89a3facfc62286e15c4b42753	2026-08-05	CoordExp-swift	skip	development-skip	CoordExp-swift;index	router/synthesis,decision	retired/historical	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:9a1bceaa965fe210e05614781ef7e067ac625bc89a3facfc62286e15c4b42753	low	non-current branch/snapshot
/data/CoordExp/.worktrees/CoordExp-swift/research/decisions/let-architecture-emerge-from-hypothesis-gates.md	doc-25a8a289b7480f86	content:9338efe05197558164827262327125022f1a19aeb1e0490949e4ad40d7bfa39f	2026-07-12	CoordExp-swift	skip	duplicate	CoordExp-swift;let-architecture-emerge-from-hypothesis-gates	decision	retired/historical	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:9338efe05197558164827262327125022f1a19aeb1e0490949e4ad40d7bfa39f	low	byte-identical to representative /data/CoordExp/.worktrees/research-probes/research/decisions/let-architecture-emerge-from-hypothesis-gates.md
/data/CoordExp/.worktrees/CoordExp-swift/research/decisions/prefer-x-then-y-object-ordering.md	doc-d21004e74a1ee860	content:930556e2072f49cc84bec3d4bba8a1c5861ad7e8f60dd836eb659bea26c8486f	2026-08-05	CoordExp-swift	skip	development-skip	CoordExp-swift;prefer-x-then-y-object-ordering	decision	executed	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:930556e2072f49cc84bec3d4bba8a1c5861ad7e8f60dd836eb659bea26c8486f	low	non-current branch/snapshot
/data/CoordExp/.worktrees/CoordExp-swift/research/decisions/protect-native-capability-during-specialization.md	doc-3547171dac485da9	content:ee09ecb1f5020bd6409f02acc4be2e83ad15245730dd9cd966829be1b48d9db0	2026-07-12	CoordExp-swift	skip	duplicate	CoordExp-swift;protect-native-capability-during-specialization	decision	executed	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:ee09ecb1f5020bd6409f02acc4be2e83ad15245730dd9cd966829be1b48d9db0	low	byte-identical to representative /data/CoordExp/.worktrees/research-probes/research/decisions/protect-native-capability-during-specialization.md
/data/CoordExp/.worktrees/CoordExp-swift/research/decisions/require-target-specific-causal-consumption.md	doc-de6e8a0aa8084854	content:3f49265d20b2ede55b55571084857b33f81d2a5def20feb7ca96d10db57de208	2026-07-12	CoordExp-swift	skip	duplicate	CoordExp-swift;require-target-specific-causal-consumption	decision	executed	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:3f49265d20b2ede55b55571084857b33f81d2a5def20feb7ca96d10db57de208	low	byte-identical to representative /data/CoordExp/.worktrees/research-probes/research/decisions/require-target-specific-causal-consumption.md
/data/CoordExp/.worktrees/CoordExp-swift/research/decisions/separate-selection-transcription-commit-and-stop.md	doc-04c67f538b7b4733	content:c9fec6650ab41d8431fe6ea5814fd50e21837f1353014c85a1cafba24d967a46	2026-07-12	CoordExp-swift	skip	development-skip	CoordExp-swift;separate-selection-transcription-commit-and-stop	decision	historical	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:c9fec6650ab41d8431fe6ea5814fd50e21837f1353014c85a1cafba24d967a46	low	non-current branch/snapshot
/data/CoordExp/.worktrees/CoordExp-swift/research/decisions/use-visual-designation-as-a-causal-teacher.md	doc-3b81c17f57e034ba	content:450e92eba629100fc19395ae958aa1cfbd4eed434fd659b6d9107ba55b9897c2	2026-07-12	CoordExp-swift	skip	duplicate	CoordExp-swift;use-visual-designation-as-a-causal-teacher	decision	executed	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:450e92eba629100fc19395ae958aa1cfbd4eed434fd659b6d9107ba55b9897c2	low	byte-identical to representative /data/CoordExp/.worktrees/research-probes/research/decisions/use-visual-designation-as-a-causal-teacher.md
/data/CoordExp/.worktrees/CoordExp-swift/research/handoffs/2026-08-20-standardize-losses-handoff.md	doc-ded6c371a63e7900	content:790ba577f8972747e28c3989d67af1aff923dc04c9f3dc51050fc7dbd717427d	2026-08-20	CoordExp-swift	skip	development-skip	CoordExp-swift;2026-08-20-standardize-losses-handoff	handoff	retired/historical	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:790ba577f8972747e28c3989d67af1aff923dc04c9f3dc51050fc7dbd717427d	low	non-current branch/snapshot
/data/CoordExp/.worktrees/CoordExp-swift/research/ideas/index.md	doc-33f13a7a6681dd2d	content:7bacb580c3de1cc795169f5e0050273bd869024f6768c6cda1b0b49d718246ca	2026-07-12	CoordExp-swift	skip	development-skip	CoordExp-swift;index	router/synthesis	historical	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:7bacb580c3de1cc795169f5e0050273bd869024f6768c6cda1b0b49d718246ca	low	non-current branch/snapshot
/data/CoordExp/.worktrees/CoordExp-swift/research/ideas/prefix-denoising-sft/archive/index.md	doc-a6f29f7d7efdebe6	content:7dbe399874b8262f3b1ccc1a1f2f7d875c19b81eda0154b91a2ac9b35bf804e1	2026-06-27	CoordExp-swift	skip	duplicate	CoordExp-swift;index	router/synthesis	retired/historical	CoordExp-swift branch research surface; ownership requires reconciliation	sha256:7dbe399874b8262f3b1ccc1a1f2f7d875c19b81eda0154b91a2ac9b35bf804e1	low	byte-identical to representative /data/CoordExp/research/ideas/prefix-denoising-sft/archive/index.md
