source_path	source_id	root_or_group_id	date	cwd_or_worktree	relevance	disposition	topics	evidence_surface	execution_lifecycle	current_owner	duplicate_key	confidence	reason
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T17-59-57-019fbe7b-932a-7e41-97b6-14f3df0d527b.jsonl	019fbe7b-932a-7e41-97b6-14f3df0d527b	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	ordering|geometry	metrics-artifacts	executed-or-validation	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-00-10-019fbe7b-c627-7b20-8e8b-8d28347565ae.jsonl	019fbe7b-c627-7b20-8e8b-8d28347565ae	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	ordering|geometry	metrics-artifacts	retired-or-partial	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T14-56-28-019fbdd3-96db-7f53-b96a-63991acea152.jsonl	019fbdd3-96db-7f53-b96a-63991acea152	019fa6b3-8a3b-7e31-913e-2c019ba33a06	2026-08-01	/data/CoordExp	medium	needs-summary	research-validity|infrastructure	metrics-artifacts	planned-or-unexecuted	unowned	group:019fa6b3-8a3b-7e31-913e-2c019ba33a06	medium	correction round: research-validity/probe/worktree signal; raw JSONL retained as authority
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T07-01-20-019fbc20-98ec-7de0-802e-1731afe45d97.jsonl	019fbc20-98ec-7de0-802e-1731afe45d97	019fa6b3-8a3b-7e31-913e-2c019ba33a06	2026-08-01	/data/CoordExp	medium	unexecuted	research-validity|infrastructure	metrics-artifacts	retired-or-partial	unowned	group:019fa6b3-8a3b-7e31-913e-2c019ba33a06	medium	correction round: research-validity/probe/worktree signal; raw JSONL retained as authority
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T06-18-58-019fbbf9-cfc3-7f01-aeba-818310564400.jsonl	019fbbf9-cfc3-7f01-aeba-818310564400	019fa6b3-8a3b-7e31-913e-2c019ba33a06	2026-08-01	/data/CoordExp	medium	unexecuted	research-validity|infrastructure	metrics-artifacts	retired-or-partial	unowned	group:019fa6b3-8a3b-7e31-913e-2c019ba33a06	medium	correction round: research-validity/probe/worktree signal; raw JSONL retained as authority
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T15-52-14-019fbe06-a6ee-79e0-857c-f00501cfc2d5.jsonl	019fbe06-a6ee-79e0-857c-f00501cfc2d5	019fa6b3-8a3b-7e31-913e-2c019ba33a06	2026-08-01	/data/CoordExp	medium	unexecuted	research-governance|claims	metrics-artifacts	retired-or-partial	unowned	group:019fa6b3-8a3b-7e31-913e-2c019ba33a06	medium	correction round: research-validity/probe/worktree signal; raw JSONL retained as authority
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-02-56-019fbe7e-4db8-7273-8187-4b3e4cb73cea.jsonl	019fbe7e-4db8-7273-8187-4b3e4cb73cea	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	planned-or-unexecuted	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-43-34-019fbea3-8003-7fb0-aaa6-a2ce4617b067.jsonl	019fbea3-8003-7fb0-aaa6-a2ce4617b067	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	infrastructure|evaluation	metrics-artifacts	executed-or-validation	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-04-01-019fbe7f-4d22-7363-bcbd-9818cb57c66f.jsonl	019fbe7f-4d22-7363-bcbd-9818cb57c66f	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	planned-or-unexecuted	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-19-27-019fbe8d-6c48-7513-b305-66db058b39c8.jsonl	019fbe8d-6c48-7513-b305-66db058b39c8	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	ordering|geometry	metrics-artifacts	planned-or-unexecuted	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-50-17-019fbea9-a7bd-7d51-9953-31278f0432f1.jsonl	019fbea9-a7bd-7d51-9953-31278f0432f1	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	planned-or-unexecuted	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-17-58-019fbe8c-1261-7f32-8b35-fdf5d536716c.jsonl	019fbe8c-1261-7f32-8b35-fdf5d536716c	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	planned-or-unexecuted	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-45-10-019fbea4-f986-7642-94cc-b68e581d35e1.jsonl	019fbea4-f986-7642-94cc-b68e581d35e1	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	ordering|geometry	metrics-artifacts	retired-or-partial	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-48-33-019fbea8-12e9-75d0-a024-ac7986d40bb5.jsonl	019fbea8-12e9-75d0-a024-ac7986d40bb5	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	ordering|geometry	metrics-artifacts	planned-or-unexecuted	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T19-14-36-019fbebf-ea48-7470-8abb-89951372b047.jsonl	019fbebf-ea48-7470-8abb-89951372b047	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	ordering|geometry	metrics-artifacts	planned-or-unexecuted	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T19-12-35-019fbebe-130a-72d0-a802-0553b1651c07.jsonl	019fbebe-130a-72d0-a802-0553b1651c07	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	retired-or-partial	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T19-51-09-019fbee1-6289-77f1-8100-e641edf37f02.jsonl	019fbee1-6289-77f1-8100-e641edf37f02	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	executed-or-validation	/data/CoordExp/.worktrees/CoordExp-swift	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T19-54-50-019fbee4-bf54-7991-81e2-5e51d0d25f38.jsonl	019fbee4-bf54-7991-81e2-5e51d0d25f38	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-validity|infrastructure	metrics-artifacts	executed-or-validation	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	correction round: research-validity/probe/worktree signal; raw JSONL retained as authority
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T18-50-56-019fbeaa-403e-7242-a88a-1c8b4bf851dd.jsonl	019fbeaa-403e-7242-a88a-1c8b4bf851dd	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	ordering|geometry	metrics-artifacts	planned-or-unexecuted	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T20-28-40-019fbf03-bbf5-7c70-9357-1a36c6e31267.jsonl	019fbf03-bbf5-7c70-9357-1a36c6e31267	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	research-workflow	executed-or-validation	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T19-38-16-019fbed5-97ba-76d0-a89e-7f647bbf0080.jsonl	019fbed5-97ba-76d0-a89e-7f647bbf0080	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	metrics-artifacts	executed-or-validation	/data/CoordExp/.worktrees/CoordExp-swift	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T20-38-23-019fbf0c-a1e8-7830-9c9d-84da76e8e2da.jsonl	019fbf0c-a1e8-7830-9c9d-84da76e8e2da	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	metrics-artifacts	retired-or-partial	/data/CoordExp/.worktrees/CoordExp-swift	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T20-40-12-019fbf0e-47ff-7db1-bad0-7f40776c364e.jsonl	019fbf0e-47ff-7db1-bad0-7f40776c364e	019fbf0c-a1e8-7830-9c9d-84da76e8e2da	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	medium	needs-summary	infrastructure|evaluation	metrics-artifacts	retired-or-partial	unowned	group:019fbf0c-a1e8-7830-9c9d-84da76e8e2da	medium	indirect research-validity candidate; deep-read needed
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T21-08-45-019fbf28-6e57-7cb1-8281-9ed942156b68.jsonl	019fbf28-6e57-7cb1-8281-9ed942156b68	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-validity|infrastructure	metrics-artifacts	executed-or-validation	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	correction round: research-validity/probe/worktree signal; raw JSONL retained as authority
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T20-46-13-019fbf13-cd8c-7832-a55c-ad66a37fcc24.jsonl	019fbf13-cd8c-7832-a55c-ad66a37fcc24	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	ordering|geometry	metrics-artifacts	retired-or-partial	/data/CoordExp/.worktrees/research-probes	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T22-35-58-019fbf78-46d6-7a23-8829-3779e11e543d.jsonl	019fbf78-46d6-7a23-8829-3779e11e543d	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	metrics-artifacts	retired-or-partial	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T22-33-32-019fbf76-0b07-7342-886e-aeac781165de.jsonl	019fbf76-0b07-7342-886e-aeac781165de	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	planned-or-unexecuted	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T20-58-14-019fbf1e-cd85-7023-bd5a-d0dd17cbf8c6.jsonl	019fbf1e-cd85-7023-bd5a-d0dd17cbf8c6	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	metrics-artifacts	retired-or-partial	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T22-52-40-019fbf87-8fa1-79a2-ba0c-3f09a054a3d2.jsonl	019fbf87-8fa1-79a2-ba0c-3f09a054a3d2	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	unexecuted	research-governance|claims	metrics-artifacts	retired-or-partial	/data/CoordExp/.worktrees/CoordExp-swift	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T22-52-46-019fbf87-a8b4-7872-a08b-a8f18064d056.jsonl	019fbf87-a8b4-7872-a08b-a8f18064d056	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	metrics-artifacts	retired-or-partial	/data/CoordExp/.worktrees/CoordExp-swift	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/01/rollout-2026-08-01T23-55-07-019fbfc0-bc01-7df1-89e0-c0f3cbc4b6ea.jsonl	019fbfc0-bc01-7df1-89e0-c0f3cbc4b6ea	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-01	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	metrics-artifacts	retired-or-partial	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
/data/CoordExp/.codex/sessions/2026/08/02/rollout-2026-08-02T01-35-17-019fc01c-718e-7643-a27e-61e09fb204b9.jsonl	019fc01c-718e-7643-a27e-61e09fb204b9	019f9d6a-b843-77b0-9b63-4bd2d61591ac	2026-08-02	/data/CoordExp/.worktrees/permutation-bundle-coordinate-noise-pilot	high	needs-summary	research-governance|claims	data-geometry-serialization	executed-or-validation	unowned	group:019f9d6a-b843-77b0-9b63-4bd2d61591ac	high	deep-read candidate; topic signal extracted from visible messages
