source_path	source_id	root_or_group_id	date	cwd_or_worktree	relevance	disposition	topics	evidence_surface	execution_lifecycle	current_owner	duplicate_key	confidence	reason
/data/CoordExp/.codex/sessions/2026/05/07/rollout-2026-05-07T03-27-53-019e007a-4507-7881-8b73-d0ea97b17886.jsonl	019e007a-4507-7881-8b73-d0ea97b17886	019e007a-4507-7881-8b73-d0ea97b17886	2026-05-07	/data/CoordExp	skip	development-skip	development-only	none	unknown	unowned	task:04691a393fab	low	generic development/tooling/session-management task without material research-evidence influence
/data/CoordExp/.codex/sessions/2026/05/11/rollout-2026-05-11T02-41-25-019e14e9-2b24-7420-a7ca-c711472368f8.jsonl	019e14e9-2b24-7420-a7ca-c711472368f8	019e14e9-2b24-7420-a7ca-c711472368f8	2026-05-11	/data/CoordExp	skip	development-skip	development-only	none	unknown	unowned	task:fbdbd93f5ebf	low	generic development/tooling/session-management task without material research-evidence influence
/data/CoordExp/.codex/sessions/2026/05/12/rollout-2026-05-12T14-23-40-019e1c92-7573-7ae0-8c1d-db40e1124ba8.jsonl	019e1c92-7573-7ae0-8c1d-db40e1124ba8	019e1c92-7573-7ae0-8c1d-db40e1124ba8	2026-05-12	/data/CoordExp	skip	development-skip	development-only	none	unknown	unowned	task:e6b56f0c2732	low	generic development/tooling/session-management task without material research-evidence influence
/data/CoordExp/.codex/sessions/2026/05/12/rollout-2026-05-12T14-58-56-019e1cb2-be00-77c3-84b3-c6521215606d.jsonl	019e1cb2-be00-77c3-84b3-c6521215606d	019e1cb2-be00-77c3-84b3-c6521215606d	2026-05-12	/data/CoordExp	skip	development-skip	development-only	none	unknown	unowned	task:0ceafe225792	low	development or implementation task without a direct research decision or evidence-validity effect
/data/CoordExp/.codex/sessions/2026/05/12/rollout-2026-05-12T15-02-24-019e1cb5-eb40-7d22-9be0-446d605d13c7.jsonl	019e1cb5-eb40-7d22-9be0-446d605d13c7	019e1cb2-be00-77c3-84b3-c6521215606d	2026-05-12	/data/CoordExp	skip	development-skip	development-only	none	unknown	unowned	task:624dca85454e	low	development or implementation task without a direct research decision or evidence-validity effect
/data/CoordExp/.codex/sessions/2026/05/12/rollout-2026-05-12T16-00-21-019e1cea-f7f7-7e11-9edf-835efccf7a88.jsonl	019e1cea-f7f7-7e11-9edf-835efccf7a88	019e1cea-f7f7-7e11-9edf-835efccf7a88	2026-05-12	/data/CoordExp	skip	development-skip	development-only	none	unknown	unowned	task:dc6a30b6b697	low	development or implementation task without a direct research decision or evidence-validity effect
/data/CoordExp/.codex/sessions/2026/05/13/rollout-2026-05-13T01-57-39-019e1f0d-d12b-7b13-9bc3-db8a2d50ef60.jsonl	019e1f0d-d12b-7b13-9bc3-db8a2d50ef60	019e1f0d-d12b-7b13-9bc3-db8a2d50ef60	2026-05-13	/data/CoordExp	high	covered	qwen-mechanism	research-interpretation	unknown	unowned	task:ffbdf4b453f2	high	direct research question, experiment, mechanism, data statistic, or evidence interpretation
/data/CoordExp/.codex/sessions/2026/05/13/rollout-2026-05-13T01-59-40-019e1f0f-a8e2-7bb1-bf41-a5619690cd9d.jsonl	019e1f0f-a8e2-7bb1-bf41-a5619690cd9d	019e1f0d-d12b-7b13-9bc3-db8a2d50ef60	2026-05-13	/data/CoordExp	high	covered	qwen-mechanism	mechanism-mechanics	planned;reviewed	unowned	task:810dd9a141f4	high	direct research question, experiment, mechanism, data statistic, or evidence interpretation
/data/CoordExp/.codex/sessions/2026/05/13/rollout-2026-05-13T01-59-40-019e1f0f-a93e-70b2-9339-8483e0ac21df.jsonl	019e1f0f-a93e-70b2-9339-8483e0ac21df	019e1f0d-d12b-7b13-9bc3-db8a2d50ef60	2026-05-13	/data/CoordExp	skip	development-skip	development-only	none	implemented	unowned	task:f8539bf8b7b8	low	ordinary implementation or code/spec review without material research-evidence influence
/data/CoordExp/.codex/sessions/2026/05/13/rollout-2026-05-13T01-59-40-019e1f0f-a989-7682-b10a-62990eb20420.jsonl	019e1f0f-a989-7682-b10a-62990eb20420	019e1f0d-d12b-7b13-9bc3-db8a2d50ef60	2026-05-13	/data/CoordExp	high	covered	qwen-mechanism;data-eval	artifact-metric	executed;reviewed	unowned	task:5be8dcc6b005	high	direct research question, experiment, mechanism, data statistic, or evidence interpretation
