source_path	source_id	root_or_group_id	date	cwd_or_worktree	relevance	disposition	topics	evidence_surface	execution_lifecycle	current_owner	duplicate_key	confidence	reason
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T01-27-36-019f1b49-e77a-7341-bc98-5be08490cfe0.jsonl	019f1b49-e77a-7341-bc98-5be08490cfe0	019f1b49-e77a-7341-bc98-5be08490cfe0	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	CoordExp-Swift owning unit/OpenSpec (exact owner to verify)	group:019f1b49-e77a-7341-bc98-5be08490cfe0	high	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T01-29-55-019f1b4c-09bd-7d43-b56f-9b264f9e18a1.jsonl	019f1b4c-09bd-7d43-b56f-9b264f9e18a1	019f1b49-e77a-7341-bc98-5be08490cfe0	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	planned	CoordExp-Swift owning unit/OpenSpec (exact owner to verify)	group:019f1b49-e77a-7341-bc98-5be08490cfe0	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T01-29-56-019f1b4c-0a96-7782-a1f2-4c068e037e1d.jsonl	019f1b4c-0a96-7782-a1f2-4c068e037e1d	019f1b49-e77a-7341-bc98-5be08490cfe0	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	planned	CoordExp-Swift owning unit/OpenSpec (exact owner to verify)	group:019f1b49-e77a-7341-bc98-5be08490cfe0	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T01-29-56-019f1b4c-0b20-7800-84a3-50ef8ff72434.jsonl	019f1b4c-0b20-7800-84a3-50ef8ff72434	019f1b49-e77a-7341-bc98-5be08490cfe0	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	planned	CoordExp-Swift owning unit/OpenSpec (exact owner to verify)	group:019f1b49-e77a-7341-bc98-5be08490cfe0	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T01-29-56-019f1b4c-0bf3-7631-8dde-4b153c818211.jsonl	019f1b4c-0bf3-7631-8dde-4b153c818211	019f1b49-e77a-7341-bc98-5be08490cfe0	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	planned	unowned	group:019f1b49-e77a-7341-bc98-5be08490cfe0	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T01-29-56-019f1b4c-0de9-72e1-ad7a-86bdceb84370.jsonl	019f1b4c-0de9-72e1-ad7a-86bdceb84370	019f1b49-e77a-7341-bc98-5be08490cfe0	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	planned	unowned	group:019f1b49-e77a-7341-bc98-5be08490cfe0	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T04-13-55-019f1be2-2d63-7fc1-aada-c12383790cb7.jsonl	019f1be2-2d63-7fc1-aada-c12383790cb7	019f1be2-2d63-7fc1-aada-c12383790cb7	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1be2-2d63-7fc1-aada-c12383790cb7	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T11-57-33-019f1d8a-a663-7131-af4e-b093ef5748b9.jsonl	019f1d8a-a663-7131-af4e-b093ef5748b9	019f1d8a-a663-7131-af4e-b093ef5748b9	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1d8a-a663-7131-af4e-b093ef5748b9	medium	correction: isolated subagent/router/commit workflow, no CoordExp scientific evidence
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T13-31-05-019f1de0-4756-7240-9cf2-7bf5cf80a42a.jsonl	019f1de0-4756-7240-9cf2-7bf5cf80a42a	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	planned	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	correction: isolated subagent/router/commit workflow, no CoordExp scientific evidence
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T13-35-52-019f1de4-a859-7582-9506-f36fd49037fb.jsonl	019f1de4-a859-7582-9506-f36fd49037fb	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T13-35-52-019f1de4-a93f-7231-9dcc-7b3355beaec2.jsonl	019f1de4-a93f-7231-9dcc-7b3355beaec2	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T13-35-52-019f1de4-aa63-7ef2-8c53-08e528561596.jsonl	019f1de4-aa63-7ef2-8c53-08e528561596	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T13-35-53-019f1de4-ac40-79d3-a57c-bcd16a5cd965.jsonl	019f1de4-ac40-79d3-a57c-bcd16a5cd965	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	planned	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T13-35-54-019f1de4-aeb6-7293-be60-e8e3a6c7e6a3.jsonl	019f1de4-aeb6-7293-be60-e8e3a6c7e6a3	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T15-01-31-019f1e33-122c-7b90-a002-c269ecdb666e.jsonl	019f1e33-122c-7b90-a002-c269ecdb666e	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T15-01-31-019f1e33-1306-7720-9ae9-753891999061.jsonl	019f1e33-1306-7720-9ae9-753891999061	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
/data/CoordExp/.codex/sessions/2026/07/01/rollout-2026-07-01T15-01-31-019f1e33-13c5-7d33-9664-c2d21a53bc6c.jsonl	019f1e33-13c5-7d33-9664-c2d21a53bc6c	019f1de0-4756-7240-9cf2-7bf5cf80a42a	2026-07-01	/data/CoordExp	skip	development-skip	generic-development	none	invalid-or-held	unowned	group:019f1de0-4756-7240-9cf2-7bf5cf80a42a	medium	sanitized task or strict fallback is generic plugin/tool/Codex/Serena/release/config/development work
